2016-03-26 19:23:22 configure libncursesw5:armel 5.9+20140913-1+b1 <none>
2016-03-26 19:23:22 status unpacked libncursesw5:armel 5.9+20140913-1+b1
2016-03-26 19:23:22 status half-configured libncursesw5:armel 5.9+20140913-1+b1
2016-03-26 19:23:22 status installed libncursesw5:armel 5.9+20140913-1+b1
2016-03-26 19:23:22 configure libdb5.3:armel 5.3.28-9 <none>
2016-03-26 19:23:22 status unpacked libdb5.3:armel 5.3.28-9
2016-03-26 19:23:22 status half-configured libdb5.3:armel 5.3.28-9
2016-03-26 19:23:22 status installed libdb5.3:armel 5.3.28-9
2016-03-26 19:23:22 configure zlib1g:armel 1:1.2.8.dfsg-2+b1 <none>
2016-03-26 19:23:22 status unpacked zlib1g:armel 1:1.2.8.dfsg-2+b1
2016-03-26 19:23:22 status half-configured zlib1g:armel 1:1.2.8.dfsg-2+b1
2016-03-26 19:23:22 status installed zlib1g:armel 1:1.2.8.dfsg-2+b1
2016-03-26 19:23:22 configure hostname:armel 3.15 <none>
2016-03-26 19:23:22 status unpacked hostname:armel 3.15
2016-03-26 19:23:22 status half-configured hostname:armel 3.15
2016-03-26 19:23:22 status installed hostname:armel 3.15
2016-03-26 19:23:22 configure mawk:armel 1.3.3-17 <none>
2016-03-26 19:23:22 status unpacked mawk:armel 1.3.3-17
2016-03-26 19:23:22 status half-configured mawk:armel 1.3.3-17
2016-03-26 19:23:22 status installed mawk:armel 1.3.3-17
2016-03-26 19:23:22 configure gpgv:armel 1.4.18-7 <none>
2016-03-26 19:23:22 status unpacked gpgv:armel 1.4.18-7
2016-03-26 19:23:22 status half-configured gpgv:armel 1.4.18-7
2016-03-26 19:23:22 status installed gpgv:armel 1.4.18-7
2016-03-26 19:23:22 configure libcap2:armel 1:2.24-8 <none>
2016-03-26 19:23:22 status unpacked libcap2:armel 1:2.24-8
2016-03-26 19:23:22 status half-configured libcap2:armel 1:2.24-8
2016-03-26 19:23:22 status installed libcap2:armel 1:2.24-8
2016-03-26 19:23:22 configure libsystemd0:armel 215-17+deb8u3 <none>
2016-03-26 19:23:22 status unpacked libsystemd0:armel 215-17+deb8u3
2016-03-26 19:23:22 status half-configured libsystemd0:armel 215-17+deb8u3
2016-03-26 19:23:22 status installed libsystemd0:armel 215-17+deb8u3
2016-03-26 19:23:22 configure libdevmapper1.02.1:armel 2:1.02.90-2.2 <none>
2016-03-26 19:23:22 status unpacked libdevmapper1.02.1:armel 2:1.02.90-2.2
2016-03-26 19:23:22 status half-configured libdevmapper1.02.1:armel 2:1.02.90-2.2
2016-03-26 19:23:23 status installed libdevmapper1.02.1:armel 2:1.02.90-2.2
2016-03-26 19:23:23 configure libdns-export100:armel 1:9.9.5.dfsg-9+deb8u4 <none>
2016-03-26 19:23:23 status unpacked libdns-export100:armel 1:9.9.5.dfsg-9+deb8u4
2016-03-26 19:23:23 status half-configured libdns-export100:armel 1:9.9.5.dfsg-9+deb8u4
2016-03-26 19:23:23 status installed libdns-export100:armel 1:9.9.5.dfsg-9+deb8u4
2016-03-26 19:23:23 configure iproute2:armel 3.16.0-2 <none>
2016-03-26 19:23:23 status unpacked iproute2:armel 3.16.0-2
2016-03-26 19:23:23 status half-configured iproute2:armel 3.16.0-2
2016-03-26 19:23:23 status installed iproute2:armel 3.16.0-2
2016-03-26 19:23:23 configure libkrb5support0:armel 1.12.1+dfsg-19+deb8u1 <none>
2016-03-26 19:23:23 status unpacked libkrb5support0:armel 1.12.1+dfsg-19+deb8u1
2016-03-26 19:23:23 status half-configured libkrb5support0:armel 1.12.1+dfsg-19+deb8u1
2016-03-26 19:23:23 status installed libkrb5support0:armel 1.12.1+dfsg-19+deb8u1
2016-03-26 19:23:23 configure base-files:armel 8+deb8u3 <none>
2016-03-26 19:23:23 status unpacked base-files:armel 8+deb8u3
2016-03-26 19:23:23 status half-configured base-files:armel 8+deb8u3
2016-03-26 19:23:24 status installed base-files:armel 8+deb8u3
2016-03-26 19:23:25 configure libc-bin:armel 2.19-18+deb8u2 <none>
2016-03-26 19:23:25 status unpacked libc-bin:armel 2.19-18+deb8u2
2016-03-26 19:23:25 status half-configured libc-bin:armel 2.19-18+deb8u2
2016-03-26 19:23:25 status installed libc-bin:armel 2.19-18+deb8u2
2016-03-26 19:23:25 configure libsemanage1:armel 2.3-1+b1 <none>
2016-03-26 19:23:25 status unpacked libsemanage1:armel 2.3-1+b1
2016-03-26 19:23:25 status half-configured libsemanage1:armel 2.3-1+b1
2016-03-26 19:23:25 status installed libsemanage1:armel 2.3-1+b1
2016-03-26 19:23:25 status triggers-pending libc-bin:armel 2.19-18+deb8u2
2016-03-26 19:23:25 configure sysvinit-utils:armel 2.88dsf-59 <none>
2016-03-26 19:23:25 status unpacked sysvinit-utils:armel 2.88dsf-59
2016-03-26 19:23:25 status half-configured sysvinit-utils:armel 2.88dsf-59
2016-03-26 19:23:25 status installed sysvinit-utils:armel 2.88dsf-59
2016-03-26 19:23:25 configure debian-archive-keyring:all 2014.3 <none>
2016-03-26 19:23:25 status unpacked debian-archive-keyring:all 2014.3
2016-03-26 19:23:25 status half-configured debian-archive-keyring:all 2014.3
2016-03-26 19:23:25 status installed debian-archive-keyring:all 2014.3
2016-03-26 19:23:25 configure libstdc++6:armel 4.9.2-10 <none>
